TailNum,sn,Model,Config,OperatedBy
N801UA,686,Airbus A319-131,C8W40Y72,United Airlines
N802UA,690,Airbus A319-131,C8W40Y72,United Airlines
N803UA,748,Airbus A319-131,C8W40Y72,United Airlines
N804UA,759,Airbus A319-131,C8W40Y72,United Airlines
N805UA,783,Airbus A319-131,C8W40Y72,United Airlines
N806UA,788,Airbus A319-131,C8W40Y72,United Airlines
N807UA,798,Airbus A319-131,C8W40Y72,United Airlines
N808UA,804,Airbus A319-131,C8W40Y72,United Airlines
N809UA,825,Airbus A319-131,C8W40Y72,United Airlines
N810UA,843,Airbus A319-131,C8W40Y72,United Airlines
N811UA,847,Airbus A319-131,C8W40Y72,United Airlines
N812UA,850,Airbus A319-131,C8W40Y72,United Airlines
N813UA,858,Airbus A319-131,C8W40Y72,United Airlines
N814UA,862,Airbus A319-131,C8W40Y72,United Airlines
N815UA,867,Airbus A319-131,C8W40Y72,United Airlines
N816UA,871,Airbus A319-131,C8W40Y72,United Airlines
N817UA,873,Airbus A319-131,C8W40Y72,United Airlines
N818UA,882,Airbus A319-131,C8W40Y72,United Airlines
N819UA,893,Airbus A319-131,C8W40Y72,United Airlines
N820UA,898,Airbus A319-131,C8W40Y72,United Airlines
N821UA,944,Airbus A319-131,C8W40Y72,United Airlines
N822UA,948,Airbus A319-131,C8W40Y72,United Airlines
N823UA,952,Airbus A319-131,C8W40Y72,United Airlines
N824UA,965,Airbus A319-131,C8W40Y72,United Airlines
N825UA,980,Airbus A319-131,C8W40Y72,United Airlines
N826UA,989,Airbus A319-131,C8W40Y72,United Airlines
N827UA,1022,Airbus A319-131,C8W40Y72,United Airlines
N828UA,1031,Airbus A319-131,C8W40Y72,United Airlines
N829UA,1211,Airbus A319-131,C8W40Y72,United Airlines
N830UA,1243,Airbus A319-131,C8W40Y72,United Airlines
N831UA,1291,Airbus A319-131,C8W40Y72,United Airlines
N832UA,1321,Airbus A319-131,C8W40Y72,United Airlines
N833UA,1401,Airbus A319-131,C8W40Y72,United Airlines
N834UA,1420,Airbus A319-131,C8W40Y72,United Airlines
N835UA,1426,Airbus A319-131,C8W40Y72,United Airlines
N836UA,1460,Airbus A319-131,C8W40Y72,United Airlines
N837UA,1474,Airbus A319-131,C8W40Y72,United Airlines
N838UA,1477,Airbus A319-131,C8W40Y72,United Airlines
N839UA,1507,Airbus A319-131,C8W40Y72,United Airlines
N840UA,1522,Airbus A319-131,C8W40Y72,United Airlines
N841UA,1545,Airbus A319-131,C8W40Y72,United Airlines
N842UA,1569,Airbus A319-131,C8W40Y72,United Airlines
N843UA,1573,Airbus A319-131,C8W40Y72,United Airlines
N844UA,1581,Airbus A319-131,C8W40Y72,United Airlines
N845UA,1585,Airbus A319-131,C8W40Y72,United Airlines
N846UA,1600,Airbus A319-131,C8W40Y72,United Airlines
